报告ID,死亡人数,受伤人数,经济损失_万元,原因分析文本,Severity_Level
南海区“11·20”较大火灾事故调查报告,6,1,707.12,直接原因为“谭约东村134号无照床上用品厂”首层电气线路故障短路引燃周边可燃物导致火灾。造成火势迅速蔓延和重大人员伤亡的主要原因是：该厂屋顶使用泡沫彩钢板和生产区域内阁楼使用木材等可燃性建筑材料；生产区域内无序堆放大量生产原料、半成品、成品；未按照规定设置消防通道；生产区域和住宿区域未采用合格有效的实体防火墙进行隔离，生产作业未采取基本有效的消防安全措施，导致火势迅速蔓延并产生大量高热有毒有害烟气，在消防疏散通道被堵塞、消防设施管理维护不善等多种不利因素下。间接原因包括：1. “谭约东村134号无照床上用品厂”消防安全主体责任不落实，内部安全管理混乱，未建立消防安全管理制度，未对员工进行消防安全知识培训和演练；厂房未经审批验收，电气线路及用电设备缺乏专业维护，车间内存放大量易燃可燃物，且违规搭建锌铁棚；该建筑物为生产、仓储、住宿“三合一”场所，是违章建筑，生产区域与居住区域未进行防火、防烟分隔；事故单位实际控制人刘潭飞未组织火灾初期扑救并逃离现场，未及时向相关部门报告火场情况。2. 相关责任单位监管责任落实不到位，包括：联安社区谭约三股份合作经济社对出租地块建设纵容、以租代管；联安社区消防安全管理责任落实不到位，对发现的隐患督促整改不力；大沥镇党委、政府对督促辖区内社区及各职能部门落实工作不力；大沥镇城市管理局对违法建设查处不力，只立案不处罚；佛山市公安局南海分局盐步派出所消防管理工作不力，日常巡查走过场；大沥工商行政管理局未能发现无照生产经营行为，监管不到位；大沥镇消防办对“三合一”场所消防隐患排查和整治工作不到位；南海公安分局防火大队消防安全监管工作不力、执法力度不够；大沥镇安全生产监督管理局未能及时发现事故企业存在的生产经营行为并纳入日常监管。,1
南部县定水镇星光村 “11?02” 塑料回收点火灾事故调查报告,0,0,9.8,直接原因：分拣机电机电源线因长期超负荷运行，接头处出现过热熔化，引燃周边散落的塑料碎片，进而蔓延至储存区塑料堆，引发火灾。间接原因：1. 运营管理混乱：经营者周强未定期维护分拣设备线路，设备长期超负荷运行；塑料回收物堆垛过高且未与电气设备保持安全距离，未配备有效消防设施。2. 基层监管缺失：村委会和镇市场监督管理所未能有效排查并查处回收点的安全隐患及无照经营行为。3. 安全意识不足：经营者周强未接受消防安全培训，不清楚设备超负荷运行风险，初期灭火处置不当。,0
博白县永安镇城治村良堂队“12·28”事件调查报告,2,2,20.2,直接原因是赵业容在住房存放烟花原料易燃危险品，引燃了放置在房屋内的所有烟花半成品及其他可燃物品，燃烧发生后因房门内开堵住逃生通道，导致在屋内的赵业容、彭俊锋2人窒息死亡，彭超日、彭菲怡2人严重烧伤。间接原因包括：赵业容、彭超日缺乏安全知识和法律意识，安全意识不强，在居住场所存放烟花原料易燃危险品，操作不当或火源管理不严；彭毅、苏荣峰非法加工烟花，并分发装填了火药的烟花饼给包括赵业容在内的村民带回家中插引线；以及永安镇党委政府、永安镇国土规建环保安监站、博白县公安局永安派出所、永安镇城治村村“两委”等有关单位对烟花爆竹“打非”工作责任不落实到位，不及时排查发现打击非法加工窝点和储存行为，安全监管不全面不彻底。,0
博罗县石湾镇惠州市惠明包装科技有限公司“5·24”火灾事故调查报告,1,0,838.36,直接原因系鹏得公司员工唐圣校在惠明公司仓库东北侧围墙的铁架上进行电焊作业，作业时掉落的焊渣引燃惠明公司存放珍珠棉的仓库东侧小卷帘门底部溢出的丁烷气体，随后引发仓库着火，进而迅速蔓延成灾。间接原因包括：1. 惠明公司安全意识淡薄，厂房、仓库未经消防审核验收，无除静电措施，违规存放珍珠棉，排风设备不足，丁烷气体聚集，且未告知鹏得公司危险性并签订安全协议。2. 鹏得公司安全生产主体责任不落实，动火作业审核把关不严，安排无证人员从事电焊作业，未告知惠明公司并在同一区域签订安全生产管理协议。3. 石湾镇滘吓村委会消防日常巡查不到位，未及时发现处理事故隐患。4. 石湾镇人民政府未督促辖区企业落实安全生产主体责任，未能及时消除生产安全事故隐患，属地管理责任落实不到位。,0
双桥区头道牌楼街道办事处粮运小区2号楼4单元209室“2024.8.17”亡人火灾事故调查报告,1,0,3.186976,火灾直接原因为次卧东侧靠墙插座内电线短路引燃货架上可燃物。延伸调查发现，居民消防安全意识淡薄，在用电磁炉做饭时使用的插线板周围堆放可燃物且长时间使用；缺乏逃生常识和自救意识，发现起火后未立即逃离现场而是用水扑救，失去最佳逃生时机；死者商国生患有心脏病等老年基础疾病，身体行动较为不便，起火时为2位老人在家，发现起火后进行救火，未能及时逃生。此外，街道办事处指导工作不力，居委会对包保片区入户排查不到位，在火灾隐患和消防安全风险辨别方面能力不足，对辖区独居老年人等重点人员的消防安全登记、救助制度落实不到位。,0
双桥区牛圈子沟镇丽景华庭北区1号楼2单元204室“2023.4.10”亡人火灾事故调查报告,1,0,0.16815,认定起火原因为闫桂芬卧床吸烟不慎，烟头引燃床上用品引发火灾。事故暴露出的问题包括：起火住宅中有患有精神疾病且有卧床嗜烟习惯的老年人居住，经常无人照顾，自救能力差；对重点人员消防安全登记、救助制度落实不到位；以及消防宣传工作开展不扎实。,0
台州大东鞋业有限公司“1.14”重大火灾事故调查报告,16,5,0,直接原因：位于鞋厂东侧钢棚北半间的电气线路故障，引燃周围鞋盒等可燃物引发火灾。间接原因：1.大东鞋厂主体厂房未经消防审批，厂房内消火栓形同虚设，各层楼梯未经封闭，疏散楼梯门未采用平开门，存在严重消防安全隐患。厂房内电气线路及用电设备没有专业电工维修保养，线路陈旧、敷设不规范，部分线路未采取穿管等防火保护措施，直接经过存放大量纸箱、成品鞋及可燃杂物等可燃易燃物品的包装车间，导致电气线路起火后迅速蔓延。同时，违规擅自搭建的铁棚更增加了火灾负荷，影响了人员疏散和火灾扑救。2.大东鞋厂内部安全管理混乱，安全生产主体责任不落实，消防安全无人具体负责，并因计件工资及员工流动性大等原因，企业内部组织管理松散，安全生产责任制、安全生产规章制度均得不到有效执行和落实。3.温岭市城北街道杨家渭村委会以包代管、放纵违章，未尽安全管理基本职责。杨家渭村委会未履行房屋出租方安全生产管理职责和基层消防安全检查责任，放纵大东鞋厂违章搭建行为，对大东鞋厂长期存在的严重消防安全隐患没有及时劝阻并向上级政府和有关部门报告。4.温岭市城北街道以及辖区派出所消防安全“网格化”管理工作制度在实际工作中没有很好落实，日常消防和安全生产监督检查不到位。大东鞋厂开办十年来街道有关部门和派出所没有对其进行安全专项检查，仅以驻村干部例行检查代替安全检查，基层政府和相关部门安全管理存在死角盲区，致使大东鞋厂严重消防安全隐患长期没有得到有效整治。5.温岭市相关部门消防安全监管工作不落实、不到位。大东鞋厂违章搭建行为及企业内部严重消防安全隐患长期没有得到重视和整治，反映出当地消防安全大检查大排查没有真正做到“全覆盖、零容忍、严执法、重实效”，打非治违和隐患排查治理工作仍不彻底，消防、城管、安监等部门在执法、监管和指导城北街道工作上存在疏漏。6.温岭市委、市政府对消防安全重视不够，履职不到位。在全省上下认真开展消防安全大排查大整治期间发生重大火灾事故，暴露出当地党委、政府对有关部门和基层街道政府开展消防安全打非治违和隐患排查治理工作督促、指导、检查力度不大、落实不够，基层安全监管仍浮在表面、存在漏洞，隐患排查整治仍不彻底。,2
右江区太平街隆平巷79号民房“8·5”较大火灾事故调查报告,6,0,47.33,直接原因：停放在百色市右江区太平街隆平巷79号一层阁楼下的电动自行车电池爆炸引燃周围可燃物引发火灾。间接原因：房主李兰燕消防安全意识淡薄，违规将电动车停于室内，未落实消防安全防范措施；政府及职能部门对辖区自建民房消防安全监管不力，包括百城街道办事处督促社区消防宣传工作不力、排查整治和宣传教育工作记录不全，百色市公安局新兴派出所未按规定指导社区开展消防隐患排查和宣传教育工作，右江区百城街道太平社区居民委员会未制定居民防火公约且未严格开展火灾防范综合治理工作，百色市右江区住房和城乡建设局在规划验收时审核把关不严。,1
叶城县江格勒斯乡阿依坎尼特村2组012号“1·25”一般火灾事故调查报告,1,0,0,起火原因无法排除遗留火种引起火灾的可能性。调查组通过走访调查、环境勘验和气象记录，排除了人为纵火、外来火源、雷击、用火不慎以及死者酒后卧床吸烟乱丢烟头引燃可燃物的可能性。在起火点（客厅内东南角摆放的“┎”形软包沙发和茶几处）的塌落物中发现一只打火机的金属防风帽，且对建筑内电气线路及电表箱勘验，均未发现故障及短路痕迹。事故暴露出的问题包括基层责任落实不到位、农村消防基础薄弱和宣传教育质效不高。,0
叶城县消防救援大队关于叶城县雪域D区30号楼3单元501室“8.5”亡人火灾事故评估自查情况报告,1,0,0,直接起火原因为户主宗巴酒后卧床吸烟，烟头点燃床上被褥引发火灾。延伸调查发现的问题包括：基层责任落实不到位，乡镇(街办)、村(社区)缺乏行之有效的火灾防控措施，基层干部在开展消防工作中流于形式，存在重动员部署轻考核问效的问题，导致基层最末端缺乏消防安全管理及措施；村(社区)消防基础薄弱，消防规划滞后，大多数农村地区缺少天然水源和消防取水口，乡镇消防站建设不到位，存在道路狭窄或车辆堵塞通道，影响火灾扑救；宣传教育质效不高，对“嗜酒、嗜烟”这一群体的宣传针对性不强，导致此类群体卧床吸烟、乱扔烟头的陋习没有大的改变。,0
叶城县石榴小区B区4号楼1单元502室“3·13”一般火灾事故调查报告,1,0,0.2,起火点位于卧室内紧贴北侧和西侧墙摆放处的木质软包床处。不排除死者酒后卧床吸烟乱丢烟头引燃可燃物引发火灾的可能性。事故暴露出的问题包括基层责任落实不到位（基层干部流于形式，缺乏管理）、农村消防基础薄弱（消防规划滞后，缺少水源，消防车到场时间无法保证）以及宣传教育质效不高（对“嗜酒、嗜烟”群体的宣传针对性不强）。,0
合江县九支镇盘龙村 “2?20” 小型家具喷漆房火灾事故调查报告,0,0,8.8,技术检测表明，空气压缩机电源线因长期超负荷运行，接头处出现过热熔化，引燃地面油漆滴落物，进而蔓延至原料区油漆桶，引发火灾。此外，事故还存在作业管理混乱（张伟未办理动火作业手续，喷漆房内使用非防爆电气设备，油漆原料未单独隔离存放，与电气设备未保持安全距离，未配备消防设施），基层监管缺失（村委会未将喷漆房纳入排查，镇市场监督管理所未查处无照经营行为），以及安全意识不足（张伟未取得喷漆作业资格证，未接受消防安全培训，不清楚油漆易燃特性，初期灭火未优先隔离油漆原料）等问题。,0
合肥3死1伤汽配城火灾调查报告,3,1,30,直接原因为汽车应急启动电源电气线路故障引燃周边易燃可燃物引发火灾。间接原因为主体责任不落实，合肥皖粤汽修部存放汽油等易燃可燃物，将商铺二层改造为居住场所并违规居住；安徽华中汽配物业公司，未及时消除市场内存在“三合一”商户的火灾隐患。属地管理和行业监管责任落实不到位，包河区淝河镇、包河区住建局、包河区消防救援大队、淝河镇平塘王村民委员会、 包河区政府等单位，未认真履行属地管理责任和监管职责，未及时消除市场内存在“三合一”商户的火灾隐患。,1
吐鲁番市高昌区胜金乡色格库勒村4组外某“8·14”民房火灾事故调查报告,2,0,2.31175,外某住宅内起火房间热水壶电源线电气线路故障引燃周围可燃物引发火灾。,0
吕梁市临县临泉镇湫河花苑小区“5·7” 较大火灾事故调查报告,5,0,840.42,直接原因：临县临泉镇湫河花苑小区1号楼1单元8层电缆井内户内供电电缆与绝缘穿刺线夹接触不良，弧光放电进而引燃电缆护套等易燃可燃物导致蔓延成灾。间接原因：日日高房地产公司擅自变更设计使用铝芯电缆，与原图纸设计不符；绝缘穿刺线夹T接电缆施工安装不规范，未进行绝缘保护；电缆井未按要求进行防火封堵，电缆桥架未加盖盖板密封；物业服务企业安全管理责任落实不到位；临泉镇及凤城社区履职安全管理责任不到位；相关监管部门履职不到位；临县县委、县政府对消防安全组织领导不力。,1
吕梁市汾阳钟楼佳苑小区7号楼“5·8”较大火灾事故调查报告,3,2,538.78,直接原因：汾阳市钟楼佳苑小区3区7号楼4层电缆井内居民户内供电电缆与绝缘穿刺线夹接触不良，弧光放电进而引燃电缆护套等易燃可燃物导致蔓延成灾。间接原因：1. 擅自变更设计使用铝芯电缆。2. 绝缘穿刺线夹T接电缆施工安装不规范。3. 未按要求进行防火封堵。4. 钟楼佳苑小区3区7号楼疏散楼梯间通向屋面平台的安全出口锁闭；常闭式防火门未处于关闭状态，导致大量烟气向楼梯间及前室蔓延，加速了火势蔓延。5. 汾阳市东和物业管理有限公司主体责任落实不到位。6. 汾阳市人民政府、太和桥街道办、新开路社区委员会及汾阳市住建局履行建设工程施工管理不力。7. 汾阳市人民政府、太和桥街道办、新开路社区委员会及汾阳市公安局、汾阳市住建局履行消防安全监管职责不到位，对高层住宅建筑火灾隐患排查、督促整改未形成闭环管理。,1
启东市吕四港镇南星桥村“6·28”火灾事故调查报告,0,1,0,直接原因：加料作业时，溶剂油等物料通过导管从物料桶导入反应釜过程中产生静电，引发火灾。间接原因：1.负责人黄刚未取得工商营业执照和危化品生产许可证等相关证照，在该场所进行生产经营活动；未按照要求对员工进行安全生产教育培训；未开展隐患排查治理等。2.吕四港镇南星桥村未认真落实上级安全生产责任制的相关要求，在历年的安全生产大检查、安全隐患大排查大整治行动中均未摸排出该着火仓库的相关情况，导致该仓库一直处于市镇村监管盲区。3.吕四港镇对皇嘉公司办理危险化学品经营许可证存在审查不严，违规办理等问题。,0
和田市玉河街道夏玛勒巴格村“4·3”号住宅火灾事故调查报告,1,0,0.0196,该起火灾事故是涉事当事人醉酒卧床吸烟起火导致。当事人平时有饮酒习惯，日常伴有卧床抽烟，防火意识薄弱，对火灾危害性认识不足，且酒后自救逃生意识差。间接原因包括街道党委安全领导责任落实不到位，村委未做到定期上门宣传教育，未发现安全隐患和当事人长期嗜酒习惯，以及死者配偶未制止和劝导其嗜酒习惯，未及时发现其饮酒且未尽看护义务。,0
哈尔滨市“6·15”火灾事故调查报告,2,0,150,402室住户李某使用的多功能插座因长期超负荷使用且电线老化，导致电气线路短路，火花引燃了阳台堆放的杂物，是本次事故的直接原因。间接原因包括：李某消防安全意识淡薄，违规使用超负荷插座，且在房间内堆放大量易燃杂物；哈尔滨中央物业服务有限公司未有效履行物业管理责任，未对楼宇进行日常消防安全巡查和宣传，未能及时发现并制止住户违规用电和堆放杂物的行为；行业监管部门对物业公司的安全管理指导和监督不足，对辖区内居民楼的安全监管和消防宣传工作不够深入细致，未能有效提升居民的消防安全意识。,0
哈尔滨市南岗区冰城九洲源肉食品加工厂“6·27“较大火灾事故调查报告,4,2,353.2,直接原因：哈尔滨市南岗区冰城九洲源肉食品加工厂在建冷库东墙上违章喷涂聚氨酯发泡材料包裹的铠装电缆，电缆内部随路形成高温电弧，击穿电缆保护层，引燃周围聚氨酯发泡材料并蔓延成灾。间接原因：1. 哈尔滨市南岗区冰城九洲源肉食品加工厂对安全生产工作不重视，安全隐患未得到排除，包括电气线路敷设不规范、消防疏散设施不健全、单位消防安全主体责任不落实，且该厂房为典型的集生产、储存、住宿、办公“多合一”场所，与相邻建筑防火间距不足。2. 哈尔滨市公安局南岗分局王岗镇派出所对辖区内消防监督管理工作落实不到位，未严格履责尽责、事后监督不力，未对责令整改情况落实进行监督检查。3. 南岗区王岗镇政府对压实压紧工作责任、扎实开展排查整治、宣传教育等通知精神贯彻落实不到位，对辖区生产安全消防工作监督检查督导不力，未按照属地责任规定落实工作和未压实落靠企业主体责任；哈达村村委会未对该厂进行排查，监督管理失管失控。,1
嘉定工业区娄陆公路590号“4·30”火灾事故调查报告,0,0,518.61,火灾的直接原因为化学品自燃引燃周边可燃物扩大成灾。间接原因包括：峥海公司违规存放超出建筑火灾危险性等级的物品及危险化学品，货物混存混放，未落实消防安全责任制和管理制度，未开展消防安全巡查和应急准备；惠硕公司作为承租方及转租方，自身及承租单位均违规存放物品，未制定安全管理制度，对承租单位安全管理缺失；启豫公司违法建造建筑并出租，对各方消防安全责任落实不到位，对承租单位长期违规存放危险品未制止；属地三里村及工业区管委会违法用地、违法建筑整治不到位，消防安全风险评级和网格排查不到位，以及厂房仓库专班管理不力。,0
四川省盐边县渔门镇湾恢村田坝组32号附1号“1·27”火灾事故调查报告,1,0,1.9,该起火灾的直接原因为陶瓷烤火盆引燃可燃物蔓延成灾。事故暴露出主要问题是群众消防安全意识薄弱，死者家属在使用木炭供暖时将陶瓷烤火盆与可燃物（如沙发、木板）距离过近，加之死者行动不便，导致火灾发生后迅速蔓延并致人死亡。此外，农村地区火灾防控基础设施配备有待加强，消防设施缺乏，农村地区群众普遍欠缺消防安全意识和自救逃生能力，导致扑救初期火灾的能力较弱且极易发生亡人火灾。,0
坡头区官渡镇“10.31”较大火灾事故调查报告,4,0,41.3,直接原因为黄旭才住宅楼一楼东侧货架上方范围内的电气线路故障引燃货架上可燃物导致火灾，故障电线发生过明显的一次短路和二次短路。间接原因包括：1. 黄旭才住宅楼设置五金店未按规范进行防火防烟分隔，店内堆放大量可燃物商品，致使起火后产生大量有毒浓烟并迅速蔓延，造成人员窒息。2. 人员逃生自救意识能力不强，对火灾危险性认识不足，逃生方法和路径选择失误。3. 住宅楼设置防盗网，未开设逃生窗，阻碍人员通过窗户逃生，缺少安全逃生通道。4. 基层各职能部门在消防专项活动中监督、检查、整治不到位，存在以文件传文件、走过场问题；基层消防检查人员知识水平不高，网格化管理落实不力，未能发现经营场所与住宅楼未物理分隔的问题，导致遗留隐患酿成事故。,1
城北镇明阳村黄永平汽修厂“10?18”火灾事故调查报告,1,0,70,直接原因：梅州市梅江区黄永平汽修厂经营者黄永平，安全意识淡薄，不具备特种作业资格违法违规进行电焊作业，电焊产生的高温且带有明火的焊渣，溅落在车牌为赣CQ7805的牵引车的油箱上，引起油箱爆燃，火势蔓延成灾，并导致严志明死亡。间接原因：梅州市梅江区城北镇明阳村黄永平汽修厂只有2个手提式灭火器，且厂内及周边均无消防设施、设备，消防设施、设备的严重缺失、不足是事故发生的间接原因。,0
大兴区“11·18”重大火灾事故调查报告,19,8,0,直接原因：冷库制冷设备调试过程中，为冷库压缩冷凝机组供电的铝芯电缆电气故障造成短路，引燃周围可燃物。具体是3号冷间敷设的铝芯电缆无标识、连接和敷设不规范，未采取可靠防火措施被聚氨酯材料覆盖，安全载流量不能满足负载功率要求，电缆与断路器不匹配，发生电气故障时断路器未有效动作，综合因素引发电缆电气故障短路，高温引燃可燃物并蔓延。火灾蔓延扩大的主要原因是冷库建设中采用不符合标准的B3级易燃聚氨酯材料作为内绝热层；燃烧产生的一氧化碳等有毒有害烟气及其他物质参与爆燃，产生的动能冲开冷间东门，烟气在蔓延过程中多次爆燃，通过未设防火门的冷库与地上建筑连接处迅速蔓延至地上建筑，导致人员死伤；地上公寓窗外设置了影响逃生和灭火救援的障碍物。间接原因：1. 违法建设、违规施工、违规出租，导致安全隐患长期存在。樊兆田在未取得审批许可的情况下持续违法建设，康特木业公司在违法建筑内无设计建造冷库，违规出租且未签订安全管理协议，未按消防技术标准分区及设置独立安全出口、疏散楼梯，未设置消防控制室等固定消防设施，未落实消防安全责任制；冷库建设中使用不合标准旧铝芯电缆，安装不匹配断路器，且未对电缆采取可靠防火措施。科辰公司违规施工作业，将未穿管保护的电气线路直接喷涂于聚氨酯保温材料内部，并使用不符合标准的建筑保温材料。工美装饰公司违法出租，未落实消防安全责任制，日常消防管理和人口流动登记管理缺失。2. 镇政府落实属地安全监管责任不力，对违法建设、消防安全、流动人口、出租房屋管理等问题监管不力。新建二村党支部、村委会未能及时制止违法建设，检查不到位，管理台账不健全，对流动人口登记管理失职，并多次为违法建设提供虚假证明。西红门镇党委、镇政府查处违法建设不力，镇规划科未有效制止冷库违法建设，并为违法建设报装用电提供证明。镇安全科对消防安全隐患监管不到位。镇流管办未将公寓式出租房屋纳入管理范围。3. 属地派出所、区公安消防支队和区公安分局对事发建筑的消防安全监督检查不到位，长期以来监督检查不力，导致辖区内消防安全隐患大量存在。,2
大安区凤凰乡“1.30”较大火灾事故调查报告,4,0,38,直接原因为：林家电动汽车专卖店内使用电热棒（热得快）不当引燃周围可燃物蔓延成灾。间接原因包括：大安区源金鑫电动汽车经营部消防安全责任制不落实，经营者消防安全意识淡薄，习惯使用无保护装置的劣质热得快烧水，在店内夹层违规住宿，并用木质板材进行分隔，耐火等级低，夹层下方可燃易燃物多，火灾荷载大，蔓延迅速，店面唯一出口为卷帘门，无足够排烟通道，发生火灾难以逃生；大安区凤凰乡人民政府远达花园社区居民委员会未严格落实安全生产及消防安全属地管理职责，消防安全排查不彻底，对事故门店违规住宿失察；大安区凤凰乡派出所未严格落实相关规定，监督检查居民委员会履行消防安全职责不力；大安区凤凰乡人民政府指导、督促辖区内社区和辖区单位开展消防工作不力；自贡市大安区公安消防大队指导和监督派出所开展日常消防监督检查工作不够深入细致，对相关人员的业务知识培训指导不力。,1
大庆肇州县丰乐镇孟凡凯纸制品厂“11·20”较大火灾事故调查报告,7,0,361.7,肇州县丰乐镇孟凡凯纸制品厂入户电缆短路引起墙体玻璃纤维增强塑料和聚苯乙烯泡沫保温板起火成灾。肇州县丰乐镇孟凡凯纸制品厂未经许可在宅基地上私建厂房，不符合消防规范；室内无消防器材，电气线路敷设不符合规范要求；仅有一个卷帘门作为出入口，在不具备安全条件下，擅自从事生产经营活动。从业人员缺少消防安全意识和应对处置火灾及自救逃生能力，致使 7 人全部遇难。地方党委政府及其有关部门组织开展农村自建房重大火灾风险综合排查整治和日常消防管理工作不力，属地基层基础力量薄弱，行业部门只注重部署、不注重实效，监督检查流于形式，未形成有效合力，致使非法、违法问题未得到及时有效治理。,1
大渡口区春晖路街道鑫瑞福居3栋2单元2-4号住宅“2·9”火灾事故调查报告,1,1,17.238,直接原因为石英管风扇型取暖器使用不慎引燃周边可燃物。间接原因有：事发现场可燃易燃物品多，住宅内堆放大量生活用品、家具电器、杂物等易燃可燃物，火灾荷载大；居住人员消防安全意识淡薄，屋内电气线路私搭乱接，寝室内使用大功率用电设备，供暖设备未与可燃物保持安全距离；火灾发生后，房间内可燃物迅速燃烧，释放大量有毒有害气体，导致居住者在极短时间内中毒窒息，加之死者为半瘫痪高龄老人，无逃生自救能力。,0
大理市“6·11”较大火灾事故调查报告,6,0,34.924466,直接原因：大理市建华旅游信息咨询服务部内南墙中柱处货架底部旁的锂电池在充电过程中起火，引燃周围可燃物，蔓延成灾并产生大量有毒有害烟气致人死亡。 间接原因：1. 大理市建华旅游信息咨询服务部是没有完善的建筑分隔设施的“三合一”场所，存放大量具有火灾隐患的电动自行车及电池，同时对多个锂电池和多辆电动自行车进行长时间充电，未采取隔离、监护等防范措施。2. 该建筑违建、违规装修，造成装修装饰耐火等级低、排烟条件差、疏散条件差。3. 违规销售与电动自行车标准不相匹配的蓄电池、违规改装电动自行车，如将铅酸电池电动车改装为锂电池电动车。4. 该建筑违规出租、转租，产权人将住宅出租作经营使用，转租人又将房屋转租给不同经营者，且未明确各自的消防安全责任。,1
大理市大理镇南门村委会玉溪村15组1号赵某军户出租房“5·20”火灾事故调查报告,1,0,34.273309,直接原因：电动自行车在充电过程中锂电池组故障起火，引燃周围可燃物，蔓延扩大成灾。间接原因：1. 自建房非法改扩建，规划面积与实际不符。2. 房东消防安全主体责任不落实，违规改造建筑、封闭疏散通道，缺乏消防设施，占用堵塞疏散通道，超出经营范围租赁电动自行车，违规充电、改装电池，使用耐火极限低的夹芯彩钢板材料。3. 消防安全监管不到位，网格化管理力度不够，隐患整治不彻底，未落实电动自行车停放充电设施建设，且未明确电动自行车租赁、维修、改装等经营行为的行业监管部门，存在监管盲区。,0
威海20231123居民楼火灾调查报告,1,0,9.83,事故直接原因为客厅沙发东北侧靠背附近的插排故障引燃周围可燃物蔓延扩大成灾。成因分析指出，插排、手机充电器、小夜灯等电器设备直接放置在客厅沙发靠背处，未与沙发等可燃物保持安全距离；火灾发生后无人员在家，未能及时发现火灾，致使初期火灾未能得到及时扑救；户主得知火灾发生后进入屋内打开外窗导致新鲜空气进入，造成火势迅速燃烧蔓延扩大。事故性质认定为一起因消防意识薄弱导致的一般火灾责任事故，主要由当事居民用电防范意识差引发。,0
宁江区8.31火灾事故调查报告,1,0,0,起火部位位于松原市宁江区新城乡晨光村宋**家民房的东侧房屋火炕处，起火原因系宋**家民房东侧房屋火炕过热引燃炕上纤维板引发火灾。主要原因为宋**疏忽大意，对火炕修整后烧炕烤干，火炕一直处于高温状态，宋**因长时间工作劳累而睡着，未能看护到位，从而导致火炕过热引燃炕上纤维板引发火灾。,0
宁远“10·10”较大火灾事故调查报告,4,2,42.55,"直接原因：汽配门店经营人在店内燃用蚊香，管理不善引燃周边瓦楞纸外包装引发火灾，着火后店内大量存放的化油器清洁剂、润滑油、灌装油漆等易燃易爆物品迅速受热爆燃，润滑油在高温下形成流淌火，助推火灾迅速蔓延扩大，同时产生大量高温有毒烟气并封堵逃生通道导致门店楼上人员伤亡。
间接原因：1. 存放大量易燃易爆物品。汽配门店内存放大量化油器清洁剂、润滑油、灌装油漆等易燃易爆的物品。火灾发生后清洁剂、润滑油、灌装油漆等易燃易爆物品迅速受热爆燃，在短时间内连续爆燃二十余次，润滑油在高温下形成流淌火，助推火灾迅速蔓延扩大，同时产生大量高温有毒烟气并封堵逃生通道，是导致人员伤亡的重要因素之一。2. 建筑内防火分隔不到位。店铺经营者缺少基本安全意识，以店为宅，存放易燃易爆物品的场所与住宅设置在同一栋楼内，生产、生活未做防火分隔。该建筑位于城市规划区内，相关单位对房屋建设缺少监管和指导，建筑内两侧的楼梯均从一层门店直通室外，存在先天性安全隐患。乡镇街道属地管理责任缺位，多合一场所整治和自建房安全整治隐患排查流于形式，日常安全监管不到位，一楼经营部分与北侧楼梯只采用铁皮分隔，且未分隔到顶，导致火灾发生后烟气迅速蔓延至二楼、三楼，致使三楼的人员无法安全逃生。",1
安居区白马镇小龙塘村2组“2·23”亡人火灾事故调查报告,1,0,1.8225,直接原因：谭万乐住宅房间内距南墙120cm至250cm、距西墙68cm区域内的电气线路短路引燃周边可燃物品并蔓延成灾。间接原因：死者为五保户、独居，且事发深夜处于熟睡状态，未能在火灾第一时间逃生；房间面积小、可燃物多，致火势蔓延迅速。,0
安平县“丰收农业科技有限公司”“6·08”秸秆堆场火灾事故调查报告,3,2,3800,直接原因：现场作业人员违规吸烟，遗弃火种（烟头）引燃可燃物。间接原因：丰收公司安全生产主体责任悬空，现场管理极度混乱，未设置任何有效的防火隔离带和安全警示标志，对员工违规吸烟行为放任不管；风险意识为零，未采取任何有效的防火措施（如覆盖阻燃布、安装消防水管等）；应急能力空白，未配备必要的消防设施和设备，未制定应急预案。属地管理和行业监管责任缺失，大良村村委会对辖区内企业的安全生产状况失管失察；县农业农村局作为秸秆综合利用的行业指导部门，只注重产业效益，忽视安全监管；县应急管理局对乡镇安全生产工作的指导督促不力，未能将此类新兴农业企业纳入有效监管范围。,1
宏兴研磨材料有限公司“4.21”火灾事故调查报告,0,0,213.8,直接原因：在宏兴公司非法生产过程中孙成文盲目操作，没有停止“泵料”作业擅自脱离工作岗位，无人监护作业状态，导致吨桶内物料在即将抽空时，大量空气抽入转料输送管道内，物料、空气混合流动产生静电积累并释放，引起吨桶转料输送管道入口处的物料起火，继而引发南仓库内沉降罐和成品罐以及厂区内其他危险化学品储罐、吨桶等相继燃烧、部分燃爆。 间接原因：1.宏兴公司守法意识、安全意识极其淡薄，非法建设化工生产项目，非法组织危险化学品生产，未落实安全生产主体责任，安全管理混乱，员工能力不足盲目操作，是事故发生的主要原因。(1)故意隐瞒、逃避监管、非法生产。宏兴公司实际控制人周平利用其担任副镇长(2019年分管安全、环保等)、村支书、村主任身份，官商一体，在未向任何行政主管部门申请、报备的情况下，接受转让的非法工艺技术，擅自建设化工生产装置，不吸取有关事故教训扩大生产规模，非法组,0
